Index,Time,Type,Price,Volume
1,0.961,ask,451,4
2,1.736,bid,277,1
3,1.736,ask,451,4
4,2.976,bid,277,1
5,2.976,bid,274,4
6,2.976,ask,451,4
7,3.813,bid,277,1
8,3.813,ask,451,4
9,3.937,bid,277,1
10,3.937,ask,451,4
11,4.216,ask,451,4
12,4.371,bid,350,4
13,4.371,ask,451,4
14,4.402,bid,350,4
15,5.115,ask,451,4
16,5.766,bid,365,4
17,5.983,bid,365,4
18,5.983,ask,444,4
19,6.107,bid,365,4
20,6.262,bid,365,1
21,6.417,ask,435,4
22,6.51,ask,435,4
23,7.006,bid,365,1
24,7.006,ask,427,4
25,7.502,bid,365,1
26,7.502,ask,427,4
27,8.711,bid,367,4
28,8.773,bid,367,4
29,8.959,ask,426,3
30,8.99,ask,426,3
31,9.393,bid,371,1
32,9.641,bid,371,1
33,9.641,ask,424,3
34,9.889,ask,423,3
35,10.137,bid,371,1
36,10.54,bid,371,1
37,10.664,ask,418,3
38,10.974,ask,411,4
39,11.16,bid,371,1
40,11.16,ask,411,4
41,11.284,bid,371,2
42,11.966,ask,406,4
43,12.214,bid,373,3
44,12.431,bid,373,3
45,12.648,ask,397,4
46,12.803,ask,378,3
47,13.144,bid,373,3
48,13.175,bid,373,3
49,13.702,ask,391,2
50,13.857,ask,390,2
51,14.043,bid,373,3
52,14.105,bid,373,3
53,14.539,ask,387,3
54,14.756,ask,387,4
55,15.004,bid,373,3
56,15.376,bid,373,3
57,15.655,ask,385,3
58,15.748,ask,385,3
59,16.027,bid,372,6
60,16.058,bid,372,6
61,16.523,ask,384,3
62,16.585,ask,384,3
63,17.019,bid,371,1
64,17.112,bid,371,1
65,17.887,ask,376,4
66,17.918,ask,376,4
67,18.042,bid,371,1
68,18.073,bid,371,1
69,18.786,ask,371,3
70,18.941,ask,371,3
71,19.003,bid,369,3
72,19.003,ask,370,3
73,19.034,bid,369,3
74,19.034,ask,370,3
75,20.057,bid,367,4
76,20.057,ask,370,2
77,20.212,bid,367,4
78,20.212,ask,370,2
79,21.049,bid,367,4
80,21.142,bid,367,4
81,21.328,ask,368,5
82,21.514,ask,368,5
83,22.134,ask,368,5
84,22.351,ask,368,5
85,22.909,bid,367,2
86,22.971,bid,367,2
87,23.095,bid,367,2
88,23.126,bid,367,2
89,23.436,ask,367,2
90,23.467,ask,367,2
91,24.056,bid,366,12
92,24.149,bid,366,12
93,24.459,ask,367,3
94,24.49,ask,367,3
95,25.079,bid,366,4
96,25.079,ask,367,3
97,25.172,bid,366,4
98,25.172,ask,367,3
99,26.04,ask,382,4
100,26.195,ask,382,4
101,26.877,bid,366,1
102,26.908,bid,366,1
103,27.001,bid,366,1
104,27.187,bid,366,1
105,27.745,ask,375,5
106,27.776,ask,375,5
107,28.551,ask,360,2
108,28.582,ask,360,2
109,28.706,bid,320,2
110,28.737,bid,320,2
111,29.171,ask,372,2
112,29.512,ask,372,2
113,29.574,bid,321,2
114,29.853,bid,321,2
115,30.008,ask,372,2
116,30.132,ask,372,2
117,30.659,bid,356,5
118,30.845,bid,356,5
119,31.372,ask,366,2
120,31.558,ask,366,2
121,31.806,bid,352,7
122,31.93,bid,352,7
123,32.24,bid,353,2
124,32.426,bid,353,2
125,32.643,ask,365,2
126,32.705,ask,365,2
127,33.077,ask,365,2
128,33.263,bid,354,2
129,33.263,ask,365,2
130,33.542,bid,354,2
131,34.007,ask,365,2
132,34.038,ask,365,2
133,34.658,bid,355,7
134,34.844,bid,355,7
135,35.805,ask,363,2
136,35.867,ask,363,2
137,35.96,bid,359,7
138,35.991,bid,360,2
139,36.053,bid,361,7
140,36.084,bid,361,7
141,36.301,ask,362,2
142,36.456,ask,362,2
143,37.045,ask,363,2
144,37.138,bid,362,7
145,37.138,ask,363,2
146,37.262,bid,362,7
147,38.037,bid,362,7
148,38.037,ask,371,2
149,38.161,ask,371,2
150,38.843,bid,363,7
151,39.556,bid,364,7
152,39.711,bid,364,7
153,39.711,ask,366,4
154,39.835,ask,366,4
155,40.083,ask,366,4
156,40.114,ask,366,4
157,40.858,bid,372,12
158,40.92,bid,372,12
159,41.075,bid,372,11
160,41.137,bid,372,11
161,41.757,ask,413,1
162,41.943,ask,413,1
163,42.005,bid,372,11
164,42.005,ask,375,5
165,42.067,bid,372,11
166,42.067,ask,375,5
167,43.09,ask,375,5
168,43.183,ask,375,5
169,43.586,bid,373,2
170,43.617,bid,373,2
171,44.051,bid,373,2
172,44.082,bid,373,2
173,44.485,ask,374,5
174,44.547,ask,374,5
175,45.012,bid,372,8
176,45.012,ask,374,5
177,45.043,bid,372,8
178,45.043,ask,374,5
179,46.097,bid,372,14
180,46.097,ask,374,5
181,46.345,bid,372,14
182,46.345,ask,374,5
183,47.089,bid,372,14
184,47.213,bid,372,14
185,47.306,ask,373,5
186,47.368,ask,373,5
187,48.112,bid,372,12
188,48.112,ask,373,5
189,48.143,bid,372,12
190,48.143,ask,373,5
191,49.073,bid,372,9
192,49.073,ask,373,3
193,49.073,ask,381,5
194,49.104,bid,372,9
195,50.034,bid,372,6
196,50.22,bid,372,6
197,50.871,ask,379,3
198,50.964,ask,379,3
199,51.026,bid,372,4
200,51.119,bid,372,4
201,51.646,ask,376,5
202,51.832,ask,376,5
203,52.08,bid,371,1
204,52.204,bid,371,1
205,52.421,ask,375,5
206,52.514,ask,375,5
207,53.01,bid,371,1
208,53.072,bid,371,1
209,53.568,ask,373,5
210,53.785,ask,373,5
211,54.002,bid,371,1
212,54.064,bid,371,1
213,54.436,ask,371,3
214,54.591,ask,371,3
215,55.056,bid,369,2
216,55.056,ask,371,3
217,55.087,bid,369,2
218,55.955,ask,370,3
219,56.017,bid,369,2
220,56.017,ask,370,3
221,56.048,bid,369,2
222,56.048,ask,370,3
223,57.04,bid,367,6
224,57.071,bid,367,6
225,57.474,ask,369,3
226,57.753,ask,369,3
227,58.001,bid,367,3
228,58.063,bid,367,3
229,58.9,ask,366,3
230,58.962,ask,366,3
231,59.024,bid,365,4
232,59.024,ask,366,3
233,59.179,bid,365,4
234,59.179,ask,366,3
235,60.047,bid,365,1
236,60.047,ask,386,5
237,60.109,bid,365,1
238,60.109,ask,386,5
239,61.07,ask,386,5
240,61.194,bid,373,1
241,61.225,bid,373,1
242,61.938,ask,383,3
243,62.0,bid,373,1
244,62.279,bid,373,1
245,62.806,ask,382,5
246,62.837,ask,382,5
247,63.023,bid,373,1
248,63.054,bid,373,1
249,63.798,ask,381,5
250,63.984,ask,381,5
251,64.046,ask,380,5
252,64.077,ask,380,5
253,64.573,bid,363,1
254,64.604,bid,363,1
255,65.224,ask,380,5
256,65.255,ask,380,5
257,65.937,bid,368,2
258,65.968,bid,368,2
259,66.278,bid,369,3
260,66.371,bid,369,3
261,66.898,ask,377,5
262,66.929,ask,377,5
263,67.642,bid,370,3
264,67.673,bid,370,3
265,67.859,ask,374,5
266,67.983,ask,373,5
267,68.262,bid,371,3
268,68.293,bid,371,3
269,68.448,ask,371,3
270,68.975,ask,370,2
271,69.006,bid,368,1
272,69.006,ask,370,2
273,69.13,bid,368,1
274,69.13,ask,370,2
275,70.029,bid,367,12
276,70.06,bid,367,12
277,70.308,ask,368,2
278,70.494,ask,368,2
279,71.021,bid,364,2
280,71.083,bid,364,2
281,71.703,ask,365,2
282,71.734,ask,365,2
283,72.075,bid,364,1
284,72.075,bid,354,7
285,72.695,ask,364,1
286,72.943,ask,364,1
287,73.129,ask,364,1
288,73.16,ask,364,1
289,73.377,bid,363,1
290,73.408,bid,363,1
291,74.059,ask,365,2
292,74.121,ask,365,2
293,74.183,bid,364,5
294,74.245,bid,364,5
295,75.082,ask,376,4
296,75.268,ask,376,4
297,75.578,bid,370,1
298,75.702,bid,370,1
299,76.105,ask,376,4
300,76.229,ask,376,4
301,76.415,bid,371,3
302,76.477,bid,371,3
303,77.004,ask,376,4
304,77.035,ask,376,4
305,77.097,bid,372,3
306,77.252,bid,372,3
307,78.027,bid,355,1
308,78.027,ask,376,4
309,78.058,bid,355,1
310,78.058,ask,376,4
311,79.267,ask,357,1
312,79.608,ask,375,3
313,79.763,bid,373,3
314,79.794,bid,373,3
315,80.042,bid,373,5
316,80.042,ask,375,3
317,80.135,bid,373,5
318,80.135,ask,375,3
319,81.065,bid,373,1
320,81.065,ask,375,3
321,81.468,bid,373,1
322,81.468,ask,375,3
323,82.15,bid,373,1
324,82.15,ask,375,3
325,82.243,bid,373,1
326,82.243,ask,375,3
327,83.08,bid,373,1
328,83.08,ask,375,3
329,83.111,bid,373,1
330,83.111,ask,375,3
331,84.103,bid,367,4
332,84.258,bid,367,4
333,84.816,ask,374,4
334,84.847,ask,374,4
335,85.033,bid,367,4
336,85.095,bid,367,4
337,85.591,ask,373,4
338,85.622,ask,373,4
339,86.025,bid,367,4
340,86.025,ask,373,4
341,86.056,bid,367,4
342,86.056,ask,373,4
343,87.451,ask,371,4
344,87.513,bid,368,13
345,87.544,bid,368,13
346,87.978,ask,370,4
347,88.009,ask,370,4
348,88.04,bid,369,13
349,88.04,ask,370,4
350,88.071,bid,369,8
351,89.063,ask,381,3
352,89.156,bid,373,7
353,89.156,ask,381,3
354,89.218,bid,373,7
355,90.21,bid,373,7
356,90.21,ask,381,5
357,90.272,bid,373,7
358,90.272,ask,381,5
359,91.016,bid,373,7
360,91.016,ask,381,5
361,91.047,bid,373,7
362,91.047,ask,381,5
363,92.132,bid,373,7
364,92.132,ask,381,5
365,92.225,bid,373,7
366,92.225,ask,381,5
367,93.155,bid,373,6
368,93.155,ask,381,5
369,93.248,bid,373,6
370,93.248,ask,381,5
371,94.147,bid,373,6
372,94.147,ask,381,5
373,94.333,bid,373,6
374,94.333,ask,381,5
375,95.108,bid,373,6
376,95.108,ask,381,5
377,95.232,bid,373,6
378,95.232,ask,381,5
379,96.069,bid,373,6
380,96.162,bid,373,6
381,96.534,ask,379,2
382,96.596,ask,379,2
383,97.061,bid,373,6
384,97.061,ask,379,2
385,97.247,bid,373,6
386,97.247,ask,379,2
387,98.022,bid,373,4
388,98.146,bid,373,4
389,98.89,ask,376,2
390,98.952,ask,376,2
391,99.045,bid,373,3
392,99.076,bid,373,3
393,99.696,ask,374,2
394,99.789,ask,374,2
395,100.13,ask,375,2
396,100.657,bid,374,1
397,100.688,bid,374,1
398,100.936,ask,374,2
399,101.06,bid,373,1
400,101.06,bid,372,13
401,101.06,ask,374,2
402,101.184,ask,388,1
403,102.114,bid,372,11
404,102.238,bid,372,11
405,102.331,ask,386,5
406,102.486,ask,386,5
407,103.013,bid,372,11
408,103.199,bid,372,11
409,103.788,ask,384,1
410,103.85,ask,384,1
411,104.036,bid,372,11
