,Time,Type,Price,Volume
0,1.364,bid,1,2
1,2.294,bid,1,2
2,2.294,ask,800,3
3,2.914,bid,1,2
4,2.914,ask,388,3
5,2.914,ask,800,3
6,3.193,bid,1,2
7,3.193,ask,387,3
8,3.193,ask,388,3
9,3.255,bid,2,2
10,3.255,ask,387,3
11,3.255,ask,388,3
12,3.441,bid,3,2
13,3.441,ask,387,3
14,3.441,ask,388,3
15,3.565,bid,336,3
16,3.565,bid,3,2
17,3.565,ask,387,3
18,3.565,ask,388,3
19,3.689,bid,336,3
20,3.689,bid,3,2
21,3.689,ask,386,3
22,3.689,ask,388,3
23,4.216,bid,336,3
24,4.216,bid,333,2
25,4.216,ask,386,3
26,4.216,ask,388,3
27,4.96,bid,336,3
28,4.96,bid,333,2
29,4.96,bid,167,10
30,4.96,ask,386,3
31,4.96,ask,388,3
32,5.456,bid,336,3
33,5.456,bid,333,2
34,5.456,bid,306,10
35,5.456,ask,386,3
36,5.456,ask,388,3
37,5.518,bid,336,3
38,5.518,bid,333,2
39,5.518,bid,306,10
40,5.518,ask,386,3
41,5.518,ask,388,3
42,5.518,ask,421,2
43,5.797,bid,336,3
44,5.797,bid,333,2
45,5.797,bid,306,10
46,5.797,ask,385,3
47,5.797,ask,388,3
48,5.797,ask,421,2
49,6.293,bid,336,3
50,6.293,bid,333,2
51,6.293,bid,306,10
52,6.293,bid,293,1
53,6.293,ask,385,3
54,6.293,ask,388,3
55,6.293,ask,421,2
56,6.355,bid,336,3
57,6.355,bid,333,2
58,6.355,bid,293,1
59,6.355,bid,202,10
60,6.355,ask,385,3
61,6.355,ask,388,3
62,6.355,ask,421,2
63,6.386,bid,336,14
64,6.386,bid,333,2
65,6.386,bid,293,1
66,6.386,bid,202,10
67,6.386,ask,385,3
68,6.386,ask,388,3
69,6.386,ask,421,2
70,6.448,bid,336,9
71,6.448,bid,333,2
72,6.448,bid,293,1
73,6.448,bid,202,10
74,6.448,ask,385,3
75,6.448,ask,388,3
76,6.448,ask,421,2
77,6.603,bid,336,9
78,6.603,bid,333,2
79,6.603,bid,293,1
80,6.603,bid,202,10
81,6.603,ask,385,3
82,6.603,ask,388,3
83,6.603,ask,410,2
84,6.727,bid,336,9
85,6.727,bid,333,2
86,6.727,bid,293,1
87,6.727,bid,202,10
88,6.727,ask,366,3
89,6.727,ask,385,3
90,6.727,ask,410,2
91,7.347,bid,336,9
92,7.347,bid,333,2
93,7.347,bid,293,1
94,7.347,bid,202,10
95,7.347,ask,366,3
96,7.347,ask,385,3
97,7.347,ask,399,2
98,7.905,bid,337,4
99,7.905,bid,336,9
100,7.905,bid,333,2
101,7.905,bid,293,1
102,7.905,bid,202,10
103,7.905,ask,366,3
104,7.905,ask,385,3
105,7.905,ask,399,2
106,7.998,bid,337,4
107,7.998,bid,336,9
108,7.998,bid,333,2
109,7.998,bid,332,14
110,7.998,bid,293,1
111,7.998,bid,202,10
112,7.998,ask,366,3
113,7.998,ask,385,3
114,7.998,ask,399,2
115,8.68,bid,337,4
116,8.68,bid,336,9
117,8.68,bid,333,2
118,8.68,bid,332,14
119,8.68,bid,314,10
120,8.68,bid,293,1
121,8.68,ask,366,3
122,8.68,ask,385,3
123,8.68,ask,399,2
124,8.835,bid,337,4
125,8.835,bid,336,9
126,8.835,bid,333,2
127,8.835,bid,332,14
128,8.835,bid,314,10
129,8.835,bid,293,1
130,8.835,bid,216,1
131,8.835,ask,366,3
132,8.835,ask,385,3
133,8.835,ask,399,2
134,8.99,bid,337,4
135,8.99,bid,336,9
136,8.99,bid,333,2
137,8.99,bid,332,14
138,8.99,bid,314,10
139,8.99,bid,305,1
140,8.99,bid,216,1
141,8.99,ask,366,3
142,8.99,ask,385,3
143,8.99,ask,399,2
144,9.114,bid,337,4
145,9.114,bid,336,9
146,9.114,bid,333,2
147,9.114,bid,332,14
148,9.114,bid,305,1
149,9.114,bid,216,1
150,9.114,bid,145,10
151,9.114,ask,366,3
152,9.114,ask,385,3
153,9.114,ask,399,2
154,9.703,bid,337,4
155,9.703,bid,336,9
156,9.703,bid,333,2
157,9.703,bid,332,14
158,9.703,bid,305,1
159,9.703,bid,294,10
160,9.703,bid,216,1
161,9.703,ask,366,3
162,9.703,ask,385,3
163,9.703,ask,399,2
164,9.796,bid,337,4
165,9.796,bid,336,9
166,9.796,bid,333,2
167,9.796,bid,332,14
168,9.796,bid,305,1
169,9.796,bid,294,10
170,9.796,bid,165,1
171,9.796,ask,366,3
172,9.796,ask,385,3
173,9.796,ask,399,2
174,9.827,bid,337,4
175,9.827,bid,336,9
176,9.827,bid,333,2
177,9.827,bid,332,14
178,9.827,bid,305,1
179,9.827,bid,280,10
180,9.827,bid,165,1
181,9.827,ask,366,3
182,9.827,ask,385,3
183,9.827,ask,399,2
184,10.23,bid,337,4
185,10.23,bid,336,9
186,10.23,bid,333,2
187,10.23,bid,332,14
188,10.23,bid,305,1
189,10.23,bid,299,10
190,10.23,bid,280,10
191,10.23,bid,165,1
192,10.23,ask,366,3
193,10.23,ask,385,3
194,10.23,ask,399,2
195,10.261,bid,337,4
196,10.261,bid,336,9
197,10.261,bid,333,2
198,10.261,bid,332,14
199,10.261,bid,305,1
200,10.261,bid,299,10
201,10.261,bid,280,10
202,10.261,bid,165,1
203,10.261,ask,363,4
204,10.261,ask,366,3
205,10.261,ask,385,3
206,10.261,ask,399,2
207,10.602,bid,337,4
208,10.602,bid,336,9
209,10.602,bid,333,2
210,10.602,bid,332,14
211,10.602,bid,305,1
212,10.602,bid,299,10
213,10.602,bid,280,10
214,10.602,bid,165,1
215,10.602,ask,357,3
216,10.602,ask,363,4
217,10.602,ask,385,3
218,10.602,ask,399,2
219,10.633,bid,337,4
220,10.633,bid,336,9
221,10.633,bid,333,2
222,10.633,bid,332,14
223,10.633,bid,305,1
224,10.633,bid,299,10
225,10.633,bid,280,10
226,10.633,bid,165,1
227,10.633,ask,357,3
228,10.633,ask,364,4
229,10.633,ask,385,3
230,10.633,ask,399,2
231,10.695,bid,337,4
232,10.695,bid,336,9
233,10.695,bid,333,2
234,10.695,bid,332,14
235,10.695,bid,305,1
236,10.695,bid,299,10
237,10.695,bid,280,10
238,10.695,bid,255,1
239,10.695,ask,357,3
240,10.695,ask,364,4
241,10.695,ask,385,3
242,10.695,ask,399,2
243,10.788,bid,337,4
244,10.788,bid,336,9
245,10.788,bid,333,2
246,10.788,bid,332,14
247,10.788,bid,305,1
248,10.788,bid,299,10
249,10.788,bid,280,10
250,10.788,bid,255,1
251,10.788,ask,357,3
252,10.788,ask,364,4
253,10.788,ask,384,2
254,10.788,ask,385,3
255,10.85,bid,337,4
256,10.85,bid,336,9
257,10.85,bid,333,2
258,10.85,bid,332,14
259,10.85,bid,305,1
260,10.85,bid,299,10
261,10.85,bid,280,10
262,10.85,bid,255,1
263,10.85,ask,356,3
264,10.85,ask,357,3
265,10.85,ask,364,4
266,10.85,ask,384,2
267,10.974,bid,337,4
268,10.974,bid,336,9
269,10.974,bid,333,2
270,10.974,bid,332,14
271,10.974,bid,305,1
272,10.974,bid,299,10
273,10.974,bid,280,10
274,10.974,bid,255,1
275,10.974,ask,355,3
276,10.974,ask,357,3
277,10.974,ask,364,4
278,10.974,ask,384,2
279,11.005,bid,337,4
280,11.005,bid,336,9
281,11.005,bid,333,2
282,11.005,bid,332,14
283,11.005,bid,305,1
284,11.005,bid,299,10
285,11.005,bid,280,10
286,11.005,bid,255,1
287,11.005,ask,355,3
288,11.005,ask,357,3
289,11.005,ask,364,4
290,11.005,ask,376,2
291,11.067,bid,337,4
292,11.067,bid,336,9
293,11.067,bid,333,2
294,11.067,bid,332,14
295,11.067,bid,305,1
296,11.067,bid,299,10
297,11.067,bid,280,10
298,11.067,bid,255,1
299,11.067,bid,83,3
300,11.067,ask,355,3
301,11.067,ask,357,3
302,11.067,ask,364,4
303,11.067,ask,376,2
304,11.501,bid,337,4
305,11.501,bid,336,9
306,11.501,bid,333,2
307,11.501,bid,332,14
308,11.501,bid,305,1
309,11.501,bid,299,10
310,11.501,bid,280,10
311,11.501,bid,255,1
312,11.501,bid,83,3
313,11.501,ask,355,6
314,11.501,ask,364,4
315,11.501,ask,376,2
316,11.749,bid,337,2
317,11.749,bid,336,9
318,11.749,bid,333,2
319,11.749,bid,332,14
320,11.749,bid,305,1
321,11.749,bid,299,10
