Time,Type,Price,Volume
0.961,ask,451,4
1.736,ask,451,4
1.736,bid,277,1
2.976,ask,451,4
2.976,bid,277,1
3.813,ask,451,4
3.813,bid,277,1
4.216,ask,451,4
4.216,bid,277,1
5.115,ask,451,4
5.115,bid,315,1
6.107,ask,451,4
6.107,bid,190,4
7.006,ask,427,4
7.006,bid,365,1
8.029,ask,427,4
8.029,bid,366,4
9.114,ask,426,3
9.114,bid,367,4
10.137,ask,787,3
10.137,bid,146,4
11.16,ask,787,3
11.16,bid,29,3
12.059,ask,411,4
12.059,bid,371,2
13.144,ask,714,3
13.144,bid,358,4
14.043,ask,714,3
14.043,bid,87,3
15.004,ask,779,3
15.004,bid,194,4
16.027,ask,685,3
16.027,bid,228,3
17.019,ask,685,3
17.019,bid,228,3
18.042,ask,376,4
18.042,bid,288,1
19.003,ask,395,4
19.003,bid,51,3
20.057,ask,387,3
20.057,bid,51,3
21.049,ask,780,2
21.049,bid,56,9
22.134,ask,386,4
22.134,bid,77,4
23.095,ask,388,4
23.095,bid,364,1
24.056,ask,388,5
24.056,bid,66,9
25.079,ask,701,3
25.079,bid,66,9
26.04,ask,422,3
26.04,bid,5,9
27.001,ask,795,2
27.001,bid,46,4
28.055,ask,381,2
28.055,bid,302,1
29.016,ask,443,1
29.016,bid,5,18
30.008,ask,760,4
30.008,bid,172,3
31.0,ask,620,1
31.0,bid,16,3
32.023,ask,739,1
32.023,bid,25,18
33.077,ask,631,2
33.077,bid,33,5
34.007,ask,766,1
34.007,bid,49,3
35.03,ask,367,2
35.03,bid,354,2
36.053,ask,766,1
36.053,bid,146,5
37.045,ask,798,4
37.045,bid,24,1
38.037,ask,798,4
38.037,bid,24,1
39.029,ask,705,1
39.029,bid,24,1
40.083,ask,581,2
40.083,bid,117,18
41.075,ask,748,4
41.075,bid,117,18
42.005,ask,644,1
42.005,bid,117,18
43.09,ask,760,4
43.09,bid,25,18
44.051,ask,789,1
44.051,bid,151,1
45.012,ask,516,4
45.012,bid,372,8
46.097,ask,717,1
46.097,bid,51,11
47.089,ask,717,1
47.089,bid,50,1
48.112,ask,791,1
48.112,bid,51,11
49.073,ask,612,2
49.073,bid,51,11
50.034,ask,691,1
50.034,bid,111,11
51.026,ask,723,4
51.026,bid,94,11
52.08,ask,645,5
52.08,bid,145,15
53.01,ask,796,5
53.01,bid,10,4
54.002,ask,595,1
54.002,bid,28,7
55.056,ask,595,1
55.056,bid,28,7
56.017,ask,595,1
56.017,bid,27,15
57.04,ask,443,1
57.04,bid,150,7
58.001,ask,369,3
58.001,bid,128,15
59.024,ask,387,5
59.024,bid,185,4
60.047,ask,545,5
60.047,bid,150,11
61.07,ask,771,3
61.07,bid,31,7
62.0,ask,561,3
62.0,bid,31,7
63.023,ask,510,1
63.023,bid,31,7
64.015,ask,383,3
64.015,bid,105,4
65.224,ask,799,1
65.224,bid,231,4
66.061,ask,386,3
66.061,bid,365,7
67.115,ask,791,3
67.115,bid,172,11
68.076,ask,373,5
68.076,bid,169,2
69.006,ask,371,3
69.006,bid,368,1
70.029,ask,764,3
70.029,bid,367,12
71.021,ask,632,4
71.021,bid,216,2
72.075,ask,655,3
72.075,bid,48,2
73.129,ask,379,3
73.129,bid,353,11
74.059,ask,376,1
74.059,bid,48,2
75.082,ask,732,4
75.082,bid,6,7
76.105,ask,580,4
76.105,bid,88,11
77.004,ask,750,4
77.004,bid,88,11
78.027,ask,717,3
78.027,bid,182,11
79.019,ask,762,5
79.019,bid,103,3
80.042,ask,637,4
80.042,bid,43,4
81.065,ask,637,1
81.065,bid,124,4
82.15,ask,614,1
82.15,bid,109,4
83.08,ask,375,3
83.08,bid,28,3
84.103,ask,638,1
84.103,bid,28,3
85.033,ask,375,3
85.033,bid,353,4
86.025,ask,790,1
86.025,bid,113,5
87.11,ask,636,4
87.11,bid,67,4
88.009,ask,370,4
88.009,bid,67,4
89.063,ask,381,3
89.063,bid,97,1
90.21,ask,784,4
90.21,bid,96,5
91.016,ask,679,5
91.016,bid,90,1
92.132,ask,381,5
92.132,bid,254,1
93.155,ask,381,5
93.155,bid,208,1
94.147,ask,748,4
94.147,bid,3,2
95.108,ask,662,1
95.108,bid,7,1
96.069,ask,381,5
96.069,bid,47,5
97.061,ask,380,5
97.061,bid,367,4
98.022,ask,453,3
98.022,bid,254,2
99.045,ask,376,2
99.045,bid,240,2
100.13,ask,390,3
100.13,bid,292,2
101.06,ask,730,4
101.06,bid,333,2
102.114,ask,730,4
102.114,bid,78,5
103.013,ask,645,2
103.013,bid,178,1
104.036,ask,498,2
104.036,bid,351,4
105.152,ask,637,4
105.152,bid,145,2
106.02,ask,539,4
106.02,bid,48,1
107.074,ask,385,2
107.074,bid,89,2
108.004,ask,385,2
108.004,bid,147,2
109.151,ask,415,3
109.151,bid,147,2
110.112,ask,767,3
110.112,bid,301,1
111.042,ask,394,2
111.042,bid,116,2
112.127,ask,734,1
112.127,bid,309,2
113.026,ask,377,3
113.026,bid,301,1
114.173,ask,382,2
114.173,bid,270,5
115.072,ask,394,2
115.072,bid,315,1
116.002,ask,487,1
116.002,bid,262,2
117.025,ask,487,1
117.025,bid,196,5
118.141,ask,377,3
118.141,bid,109,1
119.071,ask,776,1
119.071,bid,249,1
120.218,ask,438,1
120.218,bid,306,1
121.117,ask,787,1
121.117,bid,89,5
122.326,ask,787,1
122.326,bid,157,2
123.008,ask,383,2
123.008,bid,142,5
124.0,ask,787,1
124.0,bid,35,2
125.023,ask,381,4
125.023,bid,42,2
126.077,ask,379,4
126.077,bid,98,1
127.131,ask,704,1
127.131,bid,329,2
128.061,ask,745,1
128.061,bid,333,2
129.332,ask,374,4
129.332,bid,11,1
130.014,ask,372,4
130.014,bid,11,1
131.068,ask,789,1
131.068,bid,11,1
132.153,ask,799,2
132.153,bid,11,1
133.207,ask,640,1
133.207,bid,81,2
134.013,ask,621,1
134.013,bid,66,1
135.036,ask,640,1
135.036,bid,67,1
136.028,ask,433,1
136.028,bid,22,2
137.082,ask,395,4
137.082,bid,358,2
138.074,ask,380,2
138.074,bid,16,1
139.035,ask,419,5
139.035,bid,16,1
140.027,ask,736,1
140.027,bid,264,2
141.267,ask,380,2
141.267,bid,367,7
142.042,ask,378,5
142.042,bid,80,1
143.127,ask,733,5
143.127,bid,1,1
144.181,ask,377,2
144.181,bid,1,1
145.018,ask,449,1
145.018,bid,22,1
146.01,ask,775,5
146.01,bid,22,1
147.033,ask,664,2
147.033,bid,22,1
148.087,ask,385,5
148.087,bid,359,2
149.079,ask,714,2
149.079,bid,221,1
150.133,ask,476,2
150.133,bid,166,4
151.001,ask,653,2
151.001,bid,137,1
152.024,ask,798,1
152.024,bid,356,2
153.171,ask,729,5
153.171,bid,243,4
154.008,ask,798,1
154.008,bid,32,1
155.155,ask,377,5
155.155,bid,365,2
156.085,ask,785,1
156.085,bid,94,4
157.077,ask,785,1
157.077,bid,358,2
158.038,ask,384,5
158.038,bid,356,2
159.03,ask,629,5
159.03,bid,62,1
160.022,ask,754,1
160.022,bid,62,1
161.2,ask,633,5
161.2,bid,190,2
162.037,ask,752,2
162.037,bid,18,2
163.184,ask,758,5
163.184,bid,46,2
164.083,ask,376,5
164.083,bid,282,2
165.075,ask,730,2
165.075,bid,50,2
166.036,ask,788,4
166.036,bid,10,2
167.09,ask,369,5
167.09,bid,73,2
168.051,ask,791,5
168.051,bid,6,2
169.136,ask,373,5
169.136,bid,6,2
170.035,ask,677,2
170.035,bid,6,2
171.027,ask,377,5
171.027,bid,172,2
172.019,ask,518,5
172.019,bid,40,2
173.073,ask,643,5
173.073,bid,65,2
174.065,ask,691,2
174.065,bid,37,2
175.15,ask,620,4
175.15,bid,37,2
176.018,ask,522,4
176.018,bid,131,2
177.041,ask,373,5
177.041,bid,136,1
178.033,ask,799,1
178.033,bid,45,12
179.087,ask,677,2
179.087,bid,119,12
180.079,ask,656,1
180.079,bid,27,3
181.009,ask,689,4
181.009,bid,176,1
182.094,ask,375,5
182.094,bid,72,1
183.024,ask,780,4
183.024,bid,72,2
184.016,ask,797,1
184.016,bid,8,2
185.132,ask,797,1
185.132,bid,8,2
186.0,ask,369,3
186.0,bid,365,1
187.116,ask,669,5
187.116,bid,195,1
188.325,ask,375,4
188.325,bid,152,1
189.069,ask,732,4
189.069,bid,195,1
190.092,ask,732,4
190.092,bid,124,1
191.022,ask,732,4
191.022,bid,195,1
192.014,ask,780,5
192.014,bid,8,1
193.006,ask,780,5
193.006,bid,8,1
194.06,ask,430,1
194.06,bid,211,1
195.021,ask,365,1
195.021,bid,210,1
196.044,ask,372,3
196.044,bid,347,1
197.005,ask,548,5
197.005,bid,232,1
198.028,ask,689,2
198.028,bid,5,1
199.02,ask,362,1
199.02,bid,344,2
200.198,ask,362,1
200.198,bid,191,1
201.159,ask,652,2
201.159,bid,102,2
202.027,ask,734,2
202.027,bid,210,2
203.081,ask,365,2
203.081,bid,47,2
204.011,ask,667,4
204.011,bid,21,2
205.065,ask,706,4
205.065,bid,99,2
206.026,ask,592,4
206.026,bid,40,1
207.235,ask,491,4
207.235,bid,62,1
208.01,ask,382,5
208.01,bid,358,1
209.033,ask,553,2
209.033,bid,116,2
210.025,ask,380,5
210.025,bid,363,2
211.017,ask,409,2
211.017,bid,79,1
212.164,ask,780,4
212.164,bid,153,1
213.001,ask,367,4
213.001,bid,54,9
214.179,ask,602,4
214.179,bid,49,6
215.078,ask,743,4
215.078,bid,49,6
216.101,ask,374,2
216.101,bid,187,14
217.155,ask,674,5
217.155,bid,114,14
218.023,ask,783,3
218.023,bid,28,6
219.015,ask,426,3
219.015,bid,114,14
220.007,ask,665,3
220.007,bid,19,14
221.092,ask,365,4
221.092,bid,358,3
222.084,ask,365,4
222.084,bid,19,14
223.014,ask,776,3
223.014,bid,98,6
224.006,ask,368,2
224.006,bid,347,9
225.091,ask,365,2
225.091,bid,98,6
226.052,ask,764,3
226.052,bid,7,14
227.106,ask,528,1
227.106,bid,102,6
228.129,ask,533,3
228.129,bid,139,9
229.028,ask,771,2
229.028,bid,360,14
230.02,ask,643,1
230.02,bid,23,1
231.074,ask,361,2
231.074,bid,77,13
232.035,ask,370,4
232.035,bid,341,9
233.182,ask,357,2
233.182,bid,62,1
234.05,ask,622,5
234.05,bid,104,6
235.011,ask,411,2
235.011,bid,104,6
236.158,ask,365,2
236.158,bid,72,1
237.026,ask,510,5
237.026,bid,316,1
238.018,ask,735,2
238.018,bid,69,1
239.01,ask,797,2
239.01,bid,180,6
240.064,ask,373,4
240.064,bid,341,4
241.118,ask,473,1
241.118,bid,189,2
242.048,ask,656,2
242.048,bid,14,1
243.071,ask,760,1
243.071,bid,110,1
244.094,ask,715,2
244.094,bid,307,1
245.117,ask,644,2
245.117,bid,117,6
246.14,ask,451,2
246.14,bid,348,3
247.132,ask,628,2
247.132,bid,31,1
248.217,ask,373,4
248.217,bid,348,1
249.085,ask,785,1
249.085,bid,217,1
250.046,ask,694,2
250.046,bid,69,1
251.007,ask,776,2
251.007,bid,69,1
252.03,ask,363,1
252.03,bid,34,6
253.053,ask,372,1
253.053,bid,118,1
254.076,ask,638,1
254.076,bid,117,6
255.068,ask,363,1
255.068,bid,95,11
256.122,ask,765,2
256.122,bid,95,11
257.021,ask,705,2
257.021,bid,67,11
258.044,ask,670,1
258.044,bid,54,3
259.036,ask,683,3
259.036,bid,54,3
260.059,ask,724,1
260.059,bid,115,7
261.082,ask,779,3
261.082,bid,144,11
262.043,ask,646,3
262.043,bid,101,3
263.19,ask,370,6
263.19,bid,165,11
264.058,ask,370,6
264.058,bid,286,1
265.112,ask,682,3
265.112,bid,144,4
266.011,ask,527,3
266.011,bid,242,4
267.096,ask,720,3
267.096,bid,105,1
268.057,ask,592,5
268.057,bid,154,4
269.142,ask,710,3
269.142,bid,154,4
270.072,ask,799,4
270.072,bid,154,4
271.033,ask,751,3
271.033,bid,48,11
272.056,ask,371,3
272.056,bid,341,4
273.172,ask,607,4
273.172,bid,48,11
274.04,ask,707,4
274.04,bid,48,11
275.311,ask,707,4
275.311,bid,80,4
276.024,ask,486,5
276.024,bid,14,4
277.016,ask,794,5
277.016,bid,57,1
278.008,ask,707,4
278.008,bid,58,4
279.0,ask,607,5
279.0,bid,89,4
280.023,ask,378,1
280.023,bid,53,4
281.046,ask,630,3
281.046,bid,154,1
282.038,ask,771,4
282.038,bid,72,4
283.092,ask,748,4
283.092,bid,213,2
284.053,ask,376,1
284.053,bid,12,2
285.014,ask,378,5
285.014,bid,46,4
286.006,ask,371,1
286.006,bid,67,4
287.029,ask,651,4
287.029,bid,110,2
288.052,ask,651,4
288.052,bid,18,10
289.013,ask,651,4
289.013,bid,26,2
290.036,ask,625,3
290.036,bid,26,2
291.183,ask,700,3
291.183,bid,129,1
292.02,ask,700,3
292.02,bid,8,1
293.074,ask,775,3
293.074,bid,99,2
294.004,ask,625,3
294.004,bid,62,1
295.182,ask,617,5
295.182,bid,7,4
296.019,ask,366,1
296.019,bid,239,2
297.011,ask,581,3
297.011,bid,239,2
298.034,ask,684,5
298.034,bid,214,13
299.057,ask,508,3
299.057,bid,312,4
300.08,ask,513,3
300.08,bid,140,2
301.072,ask,660,3
301.072,bid,281,10
302.126,ask,682,5
302.126,bid,72,2
303.118,ask,511,5
303.118,bid,192,10
304.11,ask,790,5
304.11,bid,201,3
305.071,ask,608,5
305.071,bid,75,4
306.001,ask,524,5
306.001,bid,182,3
307.148,ask,600,3
307.148,bid,129,3
308.047,ask,371,1
308.047,bid,342,8
309.008,ask,369,1
309.008,bid,237,4
310.031,ask,672,5
310.031,bid,135,3
311.147,ask,362,2
311.147,bid,59,2
312.015,ask,605,3
312.015,bid,55,1
313.038,ask,749,5
313.038,bid,165,1
314.061,ask,749,5
314.061,bid,165,1
315.022,ask,513,3
315.022,bid,141,1
316.014,ask,367,4
316.014,bid,347,10
317.006,ask,695,3
317.006,bid,100,1
318.06,ask,727,3
318.06,bid,39,4
319.052,ask,785,4
319.052,bid,103,1
320.261,ask,777,1
320.261,bid,245,4
321.005,ask,795,1
321.005,bid,134,1
322.276,ask,582,4
322.276,bid,76,1
323.02,ask,517,2
323.02,bid,11,1
324.105,ask,614,2
324.105,bid,11,1
325.19,ask,517,2
325.19,bid,11,1
326.058,ask,664,1
326.058,bid,35,4
327.019,ask,382,1
327.019,bid,56,6
328.042,ask,781,2
328.042,bid,56,6
329.034,ask,733,2
329.034,bid,24,6
330.181,ask,674,4
330.181,bid,82,1
331.018,ask,678,2
331.018,bid,144,6
332.196,ask,629,2
332.196,bid,202,1
333.064,ask,379,1
333.064,bid,264,1
334.087,ask,703,1
334.087,bid,264,1
335.265,ask,374,1
335.265,bid,264,1
336.009,ask,372,1
336.009,bid,18,1
337.094,ask,371,1
337.094,bid,37,1
338.055,ask,593,7
338.055,bid,65,12
339.016,ask,593,3
339.016,bid,65,12
340.039,ask,593,3
340.039,bid,197,12
341.0,ask,607,1
341.0,bid,53,12
342.085,ask,370,2
342.085,bid,126,1
343.046,ask,370,2
343.046,bid,146,8
344.069,ask,489,5
344.069,bid,277,12
345.092,ask,376,2
345.092,bid,38,8
346.053,ask,699,1
346.053,bid,97,8
347.355,ask,664,1
347.355,bid,30,8
348.099,ask,372,3
348.099,bid,69,8
349.029,ask,513,1
349.029,bid,69,8
350.052,ask,371,3
350.052,bid,21,8
351.013,ask,780,1
351.013,bid,121,14
352.036,ask,672,1
352.036,bid,39,1
353.028,ask,368,3
353.028,bid,304,1
354.082,ask,734,1
354.082,bid,39,1
355.105,ask,734,1
355.105,bid,40,8
356.562,ask,700,1
356.562,bid,199,1
357.058,ask,668,1
357.058,bid,32,8
358.019,ask,385,3
358.019,bid,36,1
359.011,ask,531,1
359.011,bid,111,4
360.189,ask,772,1
360.189,bid,102,4
361.057,ask,772,1
361.057,bid,33,1
362.018,ask,772,1
362.018,bid,38,1
363.01,ask,714,5
363.01,bid,80,1
364.002,ask,556,5
364.002,bid,5,4
365.056,ask,739,1
365.056,bid,321,1
366.017,ask,608,1
366.017,bid,274,14
367.009,ask,640,2
367.009,bid,93,1
368.063,ask,764,2
368.063,bid,129,2
369.148,ask,788,2
369.148,bid,5,1
370.264,ask,379,8
370.264,bid,5,1
371.008,ask,548,1
371.008,bid,5,1
372.0,ask,734,1
372.0,bid,75,4
373.054,ask,734,1
373.054,bid,75,4
374.108,ask,518,1
374.108,bid,113,1
375.038,ask,768,1
375.038,bid,275,4
376.216,ask,389,3
376.216,bid,288,5
377.208,ask,714,5
377.208,bid,288,5
378.014,ask,582,5
378.014,bid,94,1
379.006,ask,487,5
379.006,bid,108,1
380.091,ask,674,1
380.091,bid,31,4
381.052,ask,674,1
381.052,bid,99,2
382.106,ask,377,1
382.106,bid,99,2
383.067,ask,397,4
383.067,bid,288,4
384.028,ask,374,1
384.028,bid,158,4
385.113,ask,600,1
385.113,bid,270,2
386.167,ask,747,4
386.167,bid,190,4
387.004,ask,635,3
387.004,bid,106,4
388.151,ask,635,3
388.151,bid,339,5
389.112,ask,735,2
389.112,bid,148,4
390.073,ask,665,1
390.073,bid,244,4
391.034,ask,665,1
391.034,bid,205,4
392.026,ask,789,2
392.026,bid,130,1
393.08,ask,381,2
393.08,bid,99,4
394.01,ask,597,2
394.01,bid,2,1
395.033,ask,555,1
395.033,bid,67,4
396.087,ask,619,3
396.087,bid,101,5
397.048,ask,747,3
397.048,bid,13,4
398.04,ask,664,3
398.04,bid,143,1
399.032,ask,502,1
399.032,bid,123,2
400.024,ask,706,3
400.024,bid,24,1
401.078,ask,647,3
401.078,bid,24,1
402.132,ask,647,3
402.132,bid,110,2
403.062,ask,591,1
403.062,bid,231,2
404.333,ask,591,1
404.333,bid,168,2
405.046,ask,591,1
405.046,bid,73,2
406.038,ask,620,1
406.038,bid,73,2
407.03,ask,783,1
407.03,bid,58,1
408.115,ask,787,1
408.115,bid,58,1
409.014,ask,787,1
409.014,bid,6,1
410.006,ask,490,1
410.006,bid,6,1
411.029,ask,548,1
411.029,bid,76,6
412.052,ask,742,1
412.052,bid,114,6
413.199,ask,548,1
413.199,bid,114,6
414.16,ask,372,4
414.16,bid,79,6
415.059,ask,429,1
415.059,bid,153,2
416.144,ask,729,1
416.144,bid,41,3
417.012,ask,649,2
417.012,bid,283,2
418.066,ask,727,2
418.066,bid,170,2
419.027,ask,659,2
419.027,bid,165,3
420.081,ask,659,2
