Type,adjusted_time_minutes,ASK Price Predicted
ask,1,120.79386
ask,2,120.80364
ask,3,120.81031
ask,4,120.10011
ask,5,120.03502
ask,6,120.33367
ask,7,120.01875
ask,8,119.94623
ask,9,119.90487
ask,10,119.872536
ask,11,119.84848
ask,12,119.832214
ask,13,119.821655
ask,14,119.81482
ask,15,119.81041
ask,16,119.80763
ask,17,119.805916
ask,18,119.80491
ask,19,119.80436
ask,20,119.804085
ask,21,119.80398
ask,22,119.80396
ask,23,119.80398
ask,24,119.804016
ask,25,119.80405
ask,26,119.80406
ask,27,119.80408
ask,28,119.804054
ask,29,119.80403
ask,30,119.80399
ask,31,119.80394
ask,32,119.80389
ask,33,119.80383
ask,34,119.80377
ask,35,119.80371
ask,36,119.80365
ask,37,119.8036
ask,38,119.73864
ask,39,119.76483
ask,40,119.778564
ask,41,119.785576
ask,42,119.79061
ask,43,119.794556
ask,44,119.797424
ask,45,119.79936
ask,46,119.80067
ask,47,119.44506
ask,48,119.58965
ask,49,119.30926
ask,50,119.13558
ask,51,119.02659
ask,52,119.30675
ask,53,119.46509
ask,54,119.56456
ask,55,118.95345
ask,56,119.28289
ask,57,119.24612
ask,58,119.07794
ask,59,118.98229
ask,60,118.70048
ask,61,119.10332
ask,62,118.9762
ask,63,118.90329
ask,64,119.22384
ask,65,119.0567
ask,66,118.96271
ask,67,118.91056
ask,68,118.87363
ask,69,118.84575
ask,70,118.825874
ask,71,118.81239
ask,72,118.80338
ask,73,118.797356
ask,74,118.793304
ask,75,118.7906
ask,76,118.788826
ask,77,118.78767
ask,78,118.78692
ask,79,118.78645
ask,80,118.78617
ask,81,118.785995
ask,82,118.785904
ask,83,118.78585
ask,84,118.78581
ask,85,118.7858
ask,86,118.785774
ask,87,118.78576
ask,88,118.43076
ask,89,118.2182
ask,90,118.08103
ask,91,117.9826
ask,92,117.911964
ask,93,117.86318
ask,94,117.83034
ask,95,117.808395
ask,96,117.793785
ask,97,117.07851
ask,98,117.35375
ask,99,117.499985
ask,100,117.5749
ask,101,117.62891
