Type,adjusted_time_minutes,BID Price Predicted
bid,1,135.04521
bid,2,135.05473
bid,3,135.0612
bid,4,134.37015
bid,5,134.30681
bid,6,134.59741
bid,7,134.29099
bid,8,134.2204
bid,9,134.18018
bid,10,134.1487
bid,11,134.12529
bid,12,134.10947
bid,13,134.09918
bid,14,134.09253
bid,15,134.08826
bid,16,134.08554
bid,17,134.08386
bid,18,134.0829
bid,19,134.08235
bid,20,134.08209
bid,21,134.08199
bid,22,134.08197
bid,23,134.08199
bid,24,134.08203
bid,25,134.08205
bid,26,134.08208
bid,27,134.08208
bid,28,134.08206
bid,29,134.08205
bid,30,134.082
bid,31,134.08195
bid,32,134.0819
bid,33,134.08185
bid,34,134.08179
bid,35,134.08173
bid,36,134.08168
bid,37,134.08162
bid,38,134.0184
bid,39,134.0439
bid,40,134.05725
bid,41,134.06407
bid,42,134.06898
bid,43,134.07281
bid,44,134.0756
bid,45,134.0775
bid,46,134.07877
bid,47,133.73273
bid,48,133.87343
bid,49,133.60059
bid,50,133.4316
bid,51,133.32553
bid,52,133.59814
bid,53,133.75223
bid,54,133.84901
bid,55,133.25438
bid,56,133.57494
bid,57,133.53915
bid,58,133.3755
bid,59,133.28244
bid,60,133.00821
bid,61,133.4002
bid,62,133.2765
bid,63,133.20557
bid,64,133.51747
bid,65,133.35483
bid,66,133.26337
bid,67,133.21265
bid,68,133.1767
bid,69,133.14957
bid,70,133.13023
bid,71,133.11711
bid,72,133.10835
bid,73,133.10248
bid,74,133.09853
bid,75,133.0959
bid,76,133.09418
bid,77,133.09305
bid,78,133.09232
bid,79,133.09187
bid,80,133.0916
bid,81,133.09143
bid,82,133.09132
bid,83,133.09128
bid,84,133.09125
bid,85,133.09123
bid,86,133.09122
bid,87,133.09119
bid,88,132.74576
bid,89,132.53893
bid,90,132.40546
bid,91,132.30966
bid,92,132.24094
bid,93,132.19347
bid,94,132.1615
bid,95,132.14015
bid,96,132.12595
bid,97,131.42993
bid,98,131.69775
bid,99,131.84006
bid,100,131.91295
bid,101,131.96552
bid,102,132.00714
bid,103,132.0377
bid,104,132.05875
bid,105,132.07298
bid,106,132.08264
bid,107,132.08923
bid,108,132.09369
bid,109,132.09666
bid,110,132.09862
bid,111,132.09985
bid,112,132.1006
bid,113,132.10103
bid,114,132.10123
bid,115,132.10129
bid,116,132.10126
