Type,adjusted_time_hours,Price
bid,0.0,266.7228300510576
bid,1.0,274.188376753507
bid,2.0,291.27027027027026
bid,3.0,299.8534653465347
bid,4.0,300.40487804878046
bid,5.0,293.67545304777593
bid,6.0,296.5532786885246
bid,7.0,298.1023102310231
bid,8.0,298.3776493256262
bid,9.0,310.1816239316239
bid,10.0,307.7502374169041
bid,11.0,291.6086458631549
bid,12.0,295.0626713670192
bid,13.0,304.76984126984127
bid,14.0,314.02657004830917
bid,15.0,311.88
bid,16.0,300.0251924422673
bid,17.0,299.5643153526971
bid,18.0,303.23156532988355
bid,19.0,311.68341708542715
bid,20.0,317.86857142857144
bid,21.0,327.727027027027
bid,22.0,325.5728155339806
bid,23.0,335.27464788732397
bid,24.0,336.9712918660287
bid,25.0,341.7936
bid,26.0,340.68263473053895
bid,27.0,351.71844660194176
bid,28.0,360.82608695652175
bid,29.0,370.69950738916253
bid,30.0,372.869387755102
bid,31.0,382.9196617336152
bid,32.0,385.95
bid,33.0,380.71276595744683
bid,34.0,371.9230769230769
bid,35.0,353.9402298850575
bid,36.0,353.377245508982
bid,37.0,342.6376811594203
bid,38.0,341.5166163141994
bid,39.0,342.10526315789474
bid,40.0,336.20765027322403
bid,41.0,331.64207650273227
bid,42.0,325.178
bid,43.0,330.7858585858586
bid,44.0,330.56067961165047
bid,45.0,357.3621621621622
bid,46.0,358.83365570599614
bid,47.0,362.9485714285714
bid,48.0,352.0857142857143
bid,49.0,331.09952606635073
bid,50.0,325.4691075514874
bid,51.0,329.0813953488372
bid,52.0,329.3289183222958
bid,53.0,328.0390625
bid,54.0,333.2145593869732
bid,55.0,332.5438596491228
bid,56.0,317.6545454545454
bid,57.0,316.6421052631579
bid,58.0,306.5822784810127
bid,59.0,298.1463414634146
bid,60.0,305.8474885844749
bid,61.0,310.00895856662936
bid,62.0,307.543990086741
bid,63.0,318.12250423011847
bid,64.0,327.03651115618663
bid,65.0,344.9008403361345
bid,66.0,342.41901408450707
bid,67.0,347.34037558685446
bid,68.0,349.30401529636714
bid,69.0,352.0731414868105
bid,70.0,350.7731421121252
bid,71.0,350.73366834170855
bid,72.0,344.0054844606947
bid,73.0,340.25415282392026
bid,74.0,331.3015873015873
bid,75.0,349.27272727272725
bid,76.0,355.6266586248492
bid,77.0,349.8782862706913
bid,78.0,350.73534971644614
